Player,Image,Number,Salary,Tm,Pos,Birthday,Age,height,weight,Draft
Jay Scrubb,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630206.png,0,"$462,629",Los Angeles Clippers,G,9/1/2000,21,6-6 / 1.98,210 lbs. / 95.3 kg.,2 55 2020
Wayne Selden,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627782.png,25,"$1,669,178",New York Knicks,G,9/30/1994,27,6-5 / 1.96,230 lbs. / 104.3 kg.,-
Alperen Sengun,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630578.png,28,"$3,214,680",Houston Rockets,F,7/25/2002,19,6-9 / 2.06,240 lbs. / 108.9 kg.,-
Collin Sexton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629012.png,2,"$6,349,671",Cleveland Cavaliers,G,1/4/1999,22,6-1 / 1.85,190 lbs. / 86.2 kg.,1 8 2018
Landry Shamet,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png,23,"$3,768,342",Phoenix Suns,G,3/13/1997,24,6-4 / 1.93,180 lbs. / 81.6 kg.,1 26 2018
Day'Ron Sharpe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630549.png,-,"$2,009,160",Brooklyn Nets,F,-,-,6-11 / 2.11,246 lbs. / 111.6 kg.,-
Anfernee Simons,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629014.png,24,"$3,938,818",Portland Trail Blazers,G,6/8/1999,22,6-3 / 1.91,181 lbs. / 82.1 kg.,1 24 2018
Jericho Sims,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630579.png,45,"$462,629",New York Knicks,C,10/20/1998,23,6-10 / 2.08,240 lbs. / 108.9 kg.,2 58 2021
Marcus Smart,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png,36,"$14,339,285",Boston Celtics,G,3/6/1994,27,6-3 / 1.91,227 lbs. / 103 kg.,1 6 2014
Dennis Smith Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png,1,"$1,789,256",Portland Trail Blazers,G,11/25/1997,25,6-2 / 1.88,195 lbs. / 88.5 kg.,1 9 2017
Ish Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202397.png,-,-,-,-,-,-,-,-,-
Jalen Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630188.png,10,"$4,458,000",Phoenix Suns,F,3/16/2000,21,6-10 / 2.08,225 lbs. / 102.1 kg.,1 10 2020
Tony Snell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203503.png,20,"$2,389,641",Portland Trail Blazers,F,11/10/1991,31,6-6 / 1.98,198 lbs. / 89.8 kg.,1 20 2013
Jaden Springer,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630531.png,11,"$2,023,680",Philadelphia 76ers,G,9/25/2002,19,6-4 / 1.93,204 lbs. / 92.5 kg.,1 28 2021
Lamar Stevens,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630205.png,8,"$1,517,981",Cleveland Cavaliers,F,7/9/1997,24,6-8 / 2.03,225 lbs. / 102.1 kg.,-
Isaiah Stewart,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630191.png,28,"$3,277,080",Detroit Pistons,F,5/22/2001,20,6-9 / 2.06,250 lbs. / 113.4 kg.,1 16 2020
Max Strus,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629622.png,28,"$1,669,178",Miami Heat,G,3/28/1996,25,6-6 / 1.98,215 lbs. / 97.5 kg.,-
Jalen Suggs,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630591.png,4,"$6,592,920",Orlando Magic,G,6/3/2001,20,6-4 / 1.93,205 lbs. / 93 kg.,1 5 2021
Jae'Sean Tate,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630256.png,-,"$1,517,981",Houston Rockets,F,-,-,6-4 / 1.93,230 lbs. / 104.3 kg.,-
Jayson Tatum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png,0,"$28,103,500",Boston Celtics,F,3/3/1998,23,6-10 / 2.08,204 lbs. / 92.5 kg.,1 3 2017
Garrett Temple,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202066.png,2,"$4,910,000",New Orleans Pelicans,G-F,5/8/1986,35,6-5 / 1.96,195 lbs. / 88.5 kg.,-
Daniel Theis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628464.png,27,"$8,280,351",Houston Rockets,C,4/4/1992,29,6-8 / 2.03,215 lbs. / 97.5 kg.,-
Cameron Thomas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,24,-,-,-,10/13/2001,20,-,-,1 27 2021
Matt Thomas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629744.png,21,"$1,669,178",Chicago Bulls,G,8/4/1994,27,6-4 / 1.93,197 lbs. / 89.4 kg.,-
Tristan Thompson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202684.png,13,"$9,720,900",Sacramento Kings,F,3/13/1991,30,6-9 / 2.06,225 lbs. / 102.1 kg.,1 4 2011
JT Thor,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630550.png,21,-,,F,8/26/2002,19,6-10 / 2.08,190 lbs. / 86.2 kg.,2 37 2021
Matisse Thybulle,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629680.png,22,"$2,840,160",Philadelphia 76ers,G-F,3/4/1997,24,6-5 / 1.96,201 lbs. / 91.2 kg.,1 20 2019
Killian Tillie,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629681.png,35,"$462,629",Memphis Grizzlies,F,3/5/1998,23,6-10 / 2.08,200 lbs. / 90.7 kg.,-
Xavier Tillman Sr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,-,"$1,517,981",Memphis Grizzlies,F,-,-,6-8 / 2.03,245 lbs. / 111.1 kg.,-
Isaiah Todd,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630225.png,14,"$1,500,000",Washington Wizards,F-C,10/17/2001,20,6-10 / 2.08,210 lbs. / 95.3 kg.,2 31 2021
Obi Toppin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630167.png,1,"$5,105,160",New York Knicks,F,3/4/1998,23,6-9 / 2.06,220 lbs. / 99.8 kg.,1 8 2020
Juan Toscano-Anderson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629308.png,95,"$1,701,593",Golden State Warriors,F,4/10/1993,28,6-6 / 1.98,209 lbs. / 94.8 kg.,-
Karl-Anthony Towns,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626157.png,32,"$31,650,600",Minnesota Timberwolves,F-C,11/15/1995,27,6-11 / 2.11,248 lbs. / 112.5 kg.,1 1 2015
Gary Trent Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629018.png,9,"$16,000,000",Toronto Raptors,G,1/18/1999,22,6-5 / 1.96,209 lbs. / 94.8 kg.,2 37 2018
PJ Tucker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200782.png,1,"$7,000,000",Miami Heat,F,5/5/1985,36,6-5 / 1.96,225 lbs. / 102.1 kg.,2 35 2006
Myles Turner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626167.png,33,"$18,000,000",Indiana Pacers,F-C,3/24/1996,25,6-11 / 2.11,239 lbs. / 108.4 kg.,1 11 2015
Jonas Valanciunas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202685.png,17,"$14,000,000",New Orleans Pelicans,C,5/6/1992,29,6-11 / 2.11,231 lbs. / 104.8 kg.,1 5 2011
Denzel Valentine,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627756.png,45,"$1,939,350",Cleveland Cavaliers,G,11/16/1993,29,6-4 / 1.93,210 lbs. / 95.3 kg.,1 14 2016
Jarred Vanderbilt,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629020.png,8,"$4,050,000",Minnesota Timberwolves,F,4/3/1999,22,6-9 / 2.06,214 lbs. / 97.1 kg.,2 41 2018
Fred VanVleet,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png,23,"$19,675,926",Toronto Raptors,G,2/25/1994,27,6-1 / 1.85,197 lbs. / 89.4 kg.,-
Devin Vassell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630170.png,24,"$4,235,160",San Antonio Spurs,G,8/23/2000,21,6-7 / 2.01,195 lbs. / 88.5 kg.,1 11 2020
Gabe Vincent,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629216.png,2,"$1,669,178",Miami Heat,G,6/14/1996,25,6-3 / 1.91,200 lbs. / 90.7 kg.,-
Nikola Vucevic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202696.png,8,"$24,000,000",Chicago Bulls,C,10/24/1990,31,6-11 / 2.11,240 lbs. / 108.9 kg.,1 16 2011
Dean Wade,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629731.png,32,"$1,782,621",Cleveland Cavaliers,F-C,11/20/1996,26,6-9 / 2.06,228 lbs. / 103.4 kg.,-
Franz Wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png,22,"$5,007,840",Orlando Magic,F,8/27/2001,20,6-9 / 2.06,220 lbs. / 99.8 kg.,1 8 2021
Moritz Wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629021.png,15,"$1,729,217",Orlando Magic,F,4/26/1997,24,6-11 / 2.11,240 lbs. / 108.9 kg.,1 25 2018
Kemba Walker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202689.png,1,"$34,967,442",New York Knicks,G,5/8/1990,31,6-0 / 1.83,172 lbs. / 78 kg.,1 9 2011
Lonnie Walker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,1,"$4,453,617",San Antonio Spurs,G,12/14/1998,24,6-5 / 1.96,204 lbs. / 92.5 kg.,1 18 2018
Brad Wanamaker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202954.png,9,"$1,729,217",Indiana Pacers,G,7/25/1989,32,6-3 / 1.91,210 lbs. / 95.3 kg.,-
Duane Washington Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630613.png,4,"$462,629",Indiana Pacers,G,3/24/2000,21,6-3 / 1.91,210 lbs. / 95.3 kg.,-
PJ Washington,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629023.png,25,"$4,215,120",Charlotte Hornets,F,8/23/1998,23,6-7 / 2.01,225 lbs. / 102.1 kg.,1 12 2019
Russell Westbrook,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201566.png,0,"$44,211,146",Los Angeles Lakers,G,11/12/1988,34,6-3 / 1.91,190 lbs. / 86.2 kg.,1 4 2008
Derrick White,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png,4,"$15,678,571",San Antonio Spurs,G,7/2/1994,27,6-4 / 1.93,200 lbs. / 90.7 kg.,1 29 2017
Hassan Whiteside,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202355.png,33,"$2,401,537",Utah Jazz,C,6/13/1989,32,7-0 / 2.13,235 lbs. / 106.6 kg.,2 33 2010
Andrew Wiggins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png,22,"$31,579,390",Golden State Warriors,F,2/23/1995,26,6-7 / 2.01,197 lbs. / 89.4 kg.,1 1 2014
Grant Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png,12,"$2,617,800",Boston Celtics,F,11/30/1998,24,6-6 / 1.98,236 lbs. / 107 kg.,1 22 2019
Kenrich Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629026.png,34,"$2,000,000",Oklahoma City Thunder,G-F,12/2/1994,28,6-6 / 1.98,210 lbs. / 95.3 kg.,-
Lou Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101150.png,23,-,-,-,10/27/1986,35,-,-,2 45 2005
Patrick Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630172.png,9,"$7,422,000",Chicago Bulls,F,8/26/2001,20,6-8 / 2.03,225 lbs. / 102.1 kg.,1 4 2020
Robert Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,44,"$3,661,976",Boston Celtics,F-C,10/17/1997,24,6-8 / 2.03,237 lbs. / 107.5 kg.,1 27 2018
Ziaire Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630533.png,8,"$4,373,040",Memphis Grizzlies,F,9/12/2001,20,6-8 / 2.03,185 lbs. / 83.9 kg.,1 10 2021
Dylan Windler,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629685.png,9,"$2,239,200",Cleveland Cavaliers,F-G,9/22/1996,25,6-6 / 1.98,200 lbs. / 90.7 kg.,1 26 2019
Justise Winslow,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626159.png,20,"$3,902,439",Los Angeles Clippers,F,3/26/1996,25,6-6 / 1.98,222 lbs. / 100.7 kg.,1 10 2015
Christian Wood,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626174.png,35,"$13,666,667",Houston Rockets,F,9/27/1995,26,6-10 / 2.08,216 lbs. / 98 kg.,-
Delon Wright,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626153.png,55,"$8,526,316",Atlanta Hawks,G,4/26/1992,29,6-5 / 1.96,181 lbs. / 82.1 kg.,1 20 2015
McKinley Wright IV,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630593.png,25,"$462,629",Minnesota Timberwolves,G,10/25/1998,23,6-0 / 1.83,196 lbs. / 88.9 kg.,-
Thaddeus Young,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201152.png,21,"$14,190,000",San Antonio Spurs,F,6/21/1988,33,6-8 / 2.03,220 lbs. / 99.8 kg.,1 12 2007
Trae Young,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629027.png,11,"$8,326,471",Atlanta Hawks,G,9/19/1998,23,6-1 / 1.85,180 lbs. / 81.6 kg.,1 5 2018
Omer Yurtseven,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630209.png,77,"$1,489,065",Miami Heat,C,6/19/1998,23,7-0 / 2.13,248 lbs. / 112.5 kg.,-
Cody Zeller,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203469.png,40,"$2,389,641",Portland Trail Blazers,C-F,10/5/1992,29,7-0 / 2.13,230 lbs. / 104.3 kg.,1 4 2013
Ivica Zubac,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png,40,"$7,518,518",Los Angeles Clippers,C,3/18/1997,24,7-0 / 2.13,265 lbs. / 120.2 kg.,2 32 2016
